<TICKER>,<DTYYYYMMDD>,<CLOSE>
فملي-ت,20200404,3355.15
فملي-ت,20200405,3335.89
فملي-ت,20200406,3262.08
فملي-ت,20200407,3403.29
فملي-ت,20200408,3553.21
فملي-ت,20200411,3614.65
فملي-ت,20200412,3784.74
فملي-ت,20200413,3851.22
فملي-ت,20200414,3840.22
فملي-ت,20200415,4006.19
فملي-ت,20200418,4205.17
فملي-ت,20200419,4371.14
فملي-ت,20200420,4510.97
فملي-ت,20200421,4608.63
فملي-ت,20200422,4649.43
فملي-ت,20200425,4875.00
فملي-ت,20200426,5118.46
فملي-ت,20200427,5118.46
فملي-ت,20200428,5118.46
فملي-ت,20200429,5610.40
فملي-ت,20200502,5890.53
فملي-ت,20200503,6184.88
فملي-ت,20200504,6479.68
فملي-ت,20200505,6595.22
فملي-ت,20200506,6710.29
فملي-ت,20200509,7045.44
فملي-ت,20200510,7397.55
فملي-ت,20200511,7765.71
فملي-ت,20200512,7458.07
فملي-ت,20200513,7252.67
فملي-ت,20200516,6908.81
فملي-ت,20200517,6569.08
فملي-ت,20200518,6761.18
فملي-ت,20200519,6646.57
فملي-ت,20200520,6332.97
فملي-ت,20200523,6021.66
فملي-ت,20200526,6048.68
فملي-ت,20200527,6216.62
فملي-ت,20200530,6527.40
فملي-ت,20200531,6575.66
فملي-ت,20200601,6791.86
فملي-ت,20200602,7112.78
فملي-ت,20200606,7467.96
فملي-ت,20200607,7840.99
فملي-ت,20200608,8200.52
فملي-ت,20200609,8585.62
فملي-ت,20200610,9011.74
فملي-ت,20200613,9458.61
فملي-ت,20200614,9786.76
فملي-ت,20200615,9936.36
فملي-ت,20200616,9936.36
فملي-ت,20200620,10428.60
فملي-ت,20200621,10949.79
فملي-ت,20200622,11495.10
فملي-ت,20200623,12069.38
فملي-ت,20200624,12561.61
فملي-ت,20200627,13188.97
فملي-ت,20200628,13623.29
فملي-ت,20200629,13401.30
فملي-ت,20200630,14062.44
فملي-ت,20200701,14762.18
فملي-ت,20200704,14873.18
فملي-ت,20200705,15365.41
فملي-ت,20200706,16132.72
فملي-ت,20200707,16132.72
فملي-ت,20200708,15630.83
فملي-ت,20200711,15548.79
فملي-ت,20200712,16320.92
فملي-ت,20200713,16938.63
فملي-ت,20200714,17778.32
فملي-ت,20200715,17981.01
فملي-ت,20200718,17083.40
فملي-ت,20200719,17358.48
فملي-ت,20200720,17358.48
فملي-ت,20200721,17358.48
فملي-ت,20200722,17358.48
فملي-ت,20200725,18179.75
فملي-ت,20200726,17445.95
فملي-ت,20200727,16605.24
فملي-ت,20200728,16235.91
فملي-ت,20200729,15463.23
فملي-ت,20200801,16133.86
فملي-ت,20200802,16201.89
فملي-ت,20200803,15472.95
فملي-ت,20200804,14763.45
فملي-ت,20200805,15283.43
فملي-ت,20200809,16036.67
فملي-ت,20200810,16065.82
فملي-ت,20200811,15322.31
فملي-ت,20200812,15001.57
فملي-ت,20200815,14267.77
فملي-ت,20200816,13577.71
فملي-ت,20200817,14224.04
فملي-ت,20200818,13704.06
فملي-ت,20200819,13038.30
فملي-ت,20200822,13592.29
فملي-ت,20200823,13150.07
فملي-ت,20200824,13480.52
فملي-ت,20200825,14151.14
فملي-ت,20200826,14855.78
فملي-ت,20200831,15594.44
فملي-ت,20200901,16109.56
فملي-ت,20200902,15521.55
فملي-ت,20200905,16284.51
فملي-ت,20200906,16950.27
فملي-ت,20200907,16211.61
فملي-ت,20200908,15404.92
فملي-ت,20200909,15229.97
فملي-ت,20200912,15983.21
فملي-ت,20200913,15745.09
فملي-ت,20200914,16401.14
فملي-ت,20200915,17198.11
فملي-ت,20200916,17975.64
فملي-ت,20200919,18038.82
فملي-ت,20200920,17280.72
فملي-ت,20200921,16420.57
فملي-ت,20200922,15920.04
فملي-ت,20200923,16221.33
فملي-ت,20200926,15638.18
فملي-ت,20200927,14933.54
فملي-ت,20200928,14190.02
فملي-ت,20200929,13699.20
فملي-ت,20200930,13961.62
فملي-ت,20201003,14593.37
فملي-ت,20201004,14248.33
فملي-ت,20201005,13708.92
فملي-ت,20201006,13738.08
فملي-ت,20201007,13922.74
فملي-ت,20201010,13582.57
فملي-ت,20201011,14190.02
فملي-ت,20201012,13757.52
فملي-ت,20201013,13723.50
فملي-ت,20201014,13349.31
فملي-ت,20201018,12707.84
فملي-ت,20201019,12076.10
فملي-ت,20201020,11473.51
فملي-ت,20201021,11658.17
فملي-ت,20201024,11128.47
فملي-ت,20201026,10593.92
فملي-ت,20201027,10103.10
فملي-ت,20201028,10001.05
فملي-ت,20201031,10467.57
فملي-ت,20201101,10161.41
فملي-ت,20201102,10137.12
فملي-ت,20201104,10642.51
فملي-ت,20201107,10112.82
فملي-ت,20201108,9709.47
فملي-ت,20201109,9262.39
فملي-ت,20201110,9408.18
فملي-ت,20201111,9665.74
فملي-ت,20201114,10146.84
فملي-ت,20201115,10647.37
فملي-ت,20201116,11099.32
فملي-ت,20201117,11653.31
فملي-ت,20201118,12231.60
فملي-ت,20201121,12795.32
فملي-ت,20201122,13125.77
فملي-ت,20201123,13247.26
فملي-ت,20201124,12673.83
فملي-ت,20201125,13159.79
فملي-ت,20201128,13470.80
فملي-ت,20201129,13470.80
فملي-ت,20201130,13470.80
فملي-ت,20201201,13470.80
فملي-ت,20201202,13470.80
فملي-ت,20201205,13470.80
فملي-ت,20201206,13470.80
فملي-ت,20201207,13470.80
فملي-ت,20201208,15436.29
فملي-ت,20201209,15397.94
