<TICKER>,<DTYYYYMMDD>,<CLOSE>
حكشتي-ت,20200718,53458.59
حكشتي-ت,20200719,54170.47
حكشتي-ت,20200720,56871.67
حكشتي-ت,20200721,59299.84
حكشتي-ت,20200722,61991.30
حكشتي-ت,20200725,64263.43
حكشتي-ت,20200726,64263.43
حكشتي-ت,20200727,65960.22
حكشتي-ت,20200728,69256.28
حكشتي-ت,20200729,72396.32
حكشتي-ت,20200801,74717.21
حكشتي-ت,20200802,77389.17
حكشتي-ت,20200803,73527.51
حكشتي-ت,20200804,73976.08
حكشتي-ت,20200805,77525.69
حكشتي-ت,20200809,81397.10
حكشتي-ت,20200810,84956.45
حكشتي-ت,20200811,81172.81
حكشتي-ت,20200812,80792.49
حكشتي-ت,20200815,76755.31
حكشتي-ت,20200816,72922.91
حكشتي-ت,20200817,69402.56
حكشتي-ت,20200818,70543.50
حكشتي-ت,20200819,67023.15
حكشتي-ت,20200822,64975.30
حكشتي-ت,20200823,63619.82
حكشتي-ت,20200824,61337.93
حكشتي-ت,20200825,60460.29
حكشتي-ت,20200826,63268.76
حكشتي-ت,20200831,61484.21
حكشتي-ت,20200901,60011.71
حكشتي-ت,20200902,59241.33
حكشتي-ت,20200905,56286.58
حكشتي-ت,20200906,53478.10
حكشتي-ت,20200907,53019.77
حكشتي-ت,20200908,52668.71
حكشتي-ت,20200909,50689.12
حكشتي-ت,20200912,49245.88
حكشتي-ت,20200913,47295.55
حكشتي-ت,20200914,44935.64
حكشتي-ت,20200915,44935.64
حكشتي-ت,20200916,44935.64
حكشتي-ت,20200919,44935.64
حكشتي-ت,20200920,44935.64
حكشتي-ت,20200921,44935.64
حكشتي-ت,20200922,44935.64
حكشتي-ت,20200923,44935.64
حكشتي-ت,20200926,44935.64
حكشتي-ت,20200927,44935.64
حكشتي-ت,20200928,44935.64
حكشتي-ت,20200929,44935.64
حكشتي-ت,20200930,44935.64
حكشتي-ت,20201003,44935.64
حكشتي-ت,20201004,44935.64
حكشتي-ت,20201005,44935.64
حكشتي-ت,20201006,44935.64
حكشتي-ت,20201007,44935.64
حكشتي-ت,20201010,44935.64
حكشتي-ت,20201011,46213.94
حكشتي-ت,20201012,45062.50
حكشتي-ت,20201013,42818.16
حكشتي-ت,20201014,40681.15
حكشتي-ت,20201018,38651.48
حكشتي-ت,20201019,36787.70
حكشتي-ت,20201020,35021.50
حكشتي-ت,20201021,33274.82
حكشتي-ت,20201024,32982.08
حكشتي-ت,20201026,31342.73
حكشتي-ت,20201027,30142.50
حكشتي-ت,20201028,29625.32
حكشتي-ت,20201031,28151.86
حكشتي-ت,20201101,27859.12
حكشتي-ت,20201102,27537.11
