<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20190330,7532.62
همراه-ت,20190331,7527.08
همراه-ت,20190406,7684.67
همراه-ت,20190407,7737.34
همراه-ت,20190408,7688.24
همراه-ت,20190409,7919.88
همراه-ت,20190410,8011.35
همراه-ت,20190413,8006.60
همراه-ت,20190414,7951.56
همراه-ت,20190415,8027.19
همراه-ت,20190416,8024.42
همراه-ت,20190417,7904.04
همراه-ت,20190420,7944.43
همراه-ت,20190422,7965.81
همراه-ت,20190423,8057.68
همراه-ت,20190424,8020.46
همراه-ت,20190427,8063.22
همراه-ت,20190428,8102.03
همراه-ت,20190429,8111.14
همراه-ت,20190430,8121.43
همراه-ت,20190501,8335.26
همراه-ت,20190504,8335.26
همراه-ت,20190505,8335.26
همراه-ت,20190506,8335.26
همراه-ت,20190507,8335.26
همراه-ت,20190508,8335.26
همراه-ت,20190511,8335.26
همراه-ت,20190512,8335.26
همراه-ت,20190513,8335.26
همراه-ت,20190514,8335.26
همراه-ت,20190515,8335.26
همراه-ت,20190518,8335.26
همراه-ت,20190519,8574.74
همراه-ت,20190520,8477.55
همراه-ت,20190521,8375.25
همراه-ت,20190522,8306.89
همراه-ت,20190525,8555.21
همراه-ت,20190526,8888.15
همراه-ت,20190528,9192.73
همراه-ت,20190529,9184.83
همراه-ت,20190601,9184.83
همراه-ت,20190602,9184.83
همراه-ت,20190603,9184.83
همراه-ت,20190608,9184.83
همراه-ت,20190609,9184.83
همراه-ت,20190610,9644.02
همراه-ت,20190611,10126.18
همراه-ت,20190612,10632.21
همراه-ت,20190615,11163.04
همراه-ت,20190616,11658.05
همراه-ت,20190617,11241.10
همراه-ت,20190618,10851.71
همراه-ت,20190619,10444.86
همراه-ت,20190622,10638.64
همراه-ت,20190623,10837.93
همراه-ت,20190624,10851.71
همراه-ت,20190625,10766.30
همراه-ت,20190626,10625.78
همراه-ت,20190630,10594.56
همراه-ت,20190701,10494.45
همراه-ت,20190702,10462.31
همراه-ت,20190703,10410.88
همراه-ت,20190706,10330.06
همراه-ت,20190707,10252.92
همراه-ت,20190708,10244.65
همراه-ت,20190709,10052.71
همراه-ت,20190710,9944.34
همراه-ت,20190713,10018.73
همراه-ت,20190714,10387.92
همراه-ت,20190715,10579.86
همراه-ت,20190716,10165.67
همراه-ت,20190717,10192.30
همراه-ت,20190720,10245.57
همراه-ت,20190721,10240.06
همراه-ت,20190722,10190.47
همراه-ت,20190723,10196.89
همراه-ت,20190724,10123.42
همراه-ت,20190727,10141.79
همراه-ت,20190728,10201.49
همراه-ت,20190729,10303.43
همراه-ت,20190730,10486.19
همراه-ت,20190731,10482.51
همراه-ت,20190803,10443.94
