<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20190914,3435.07
شپنا-ت,20190915,3445.93
شپنا-ت,20190916,3507.00
شپنا-ت,20190917,3440.63
شپنا-ت,20190918,3305.61
شپنا-ت,20190921,3303.84
شپنا-ت,20190922,3288.70
شپنا-ت,20190923,3420.18
شپنا-ت,20190924,3503.47
شپنا-ت,20190925,3514.07
شپنا-ت,20190928,3476.97
شپنا-ت,20190929,3457.03
شپنا-ت,20190930,3481.76
شپنا-ت,20191001,3427.25
شپنا-ت,20191002,3323.27
شپنا-ت,20191005,3313.93
شپنا-ت,20191006,3250.84
شپنا-ت,20191007,3338.41
شپنا-ت,20191008,3338.41
شپنا-ت,20191009,3338.41
شپنا-ت,20191012,3338.41
شپنا-ت,20191013,3338.41
شپنا-ت,20191014,3690.47
شپنا-ت,20191015,3555.95
شپنا-ت,20191016,3671.16
شپنا-ت,20191020,3619.03
شپنا-ت,20191021,3655.71
شپنا-ت,20191022,3680.82
شپنا-ت,20191023,3627.40
شپنا-ت,20191026,3590.07
شپنا-ت,20191028,3590.71
شپنا-ت,20191030,3609.37
شپنا-ت,20191102,3588.14
شپنا-ت,20191103,3567.54
شپنا-ت,20191104,3517.34
شپنا-ت,20191105,3502.54
شپنا-ت,20191109,3474.86
شپنا-ت,20191110,3471.00
شپنا-ت,20191111,3467.14
شپنا-ت,20191112,3492.24
شپنا-ت,20191113,3467.78
شپنا-ت,20191116,3550.81
شپنا-ت,20191117,3508.97
شپنا-ت,20191118,3508.33
شپنا-ت,20191119,3506.40
شپنا-ت,20191120,3470.35
شپنا-ت,20191123,3478.08
شپنا-ت,20191124,3434.31
شپنا-ت,20191125,3404.71
شپنا-ت,20191126,3381.54
شپنا-ت,20191127,3406.64
شپنا-ت,20191130,3358.37
شپنا-ت,20191201,3357.72
شپنا-ت,20191202,3378.96
شپنا-ت,20191203,3375.74
شپنا-ت,20191204,3340.34
شپنا-ت,20191207,3383.47
شپنا-ت,20191208,3433.03
شپنا-ت,20191209,3502.54
شپنا-ت,20191210,3510.26
شپنا-ت,20191211,3490.31
شپنا-ت,20191214,3511.55
شپنا-ت,20191215,3483.23
شپنا-ت,20191216,3480.65
شپنا-ت,20191217,3480.65
شپنا-ت,20191218,3580.41
شپنا-ت,20191221,3651.85
شپنا-ت,20191222,3620.96
شپنا-ت,20191223,3651.85
شپنا-ت,20191224,3685.96
شپنا-ت,20191225,3662.15
شپنا-ت,20191228,3698.84
شپنا-ت,20191229,3681.46
شپنا-ت,20191230,3815.33
شپنا-ت,20191231,3836.57
شپنا-ت,20200101,3920.24
شپنا-ت,20200104,3725.22
شپنا-ت,20200105,3785.08
شپنا-ت,20200107,3670.52
شپنا-ت,20200108,3642.84
شپنا-ت,20200111,3715.57
شپنا-ت,20200112,3900.93
شپنا-ت,20200113,4074.71
شپنا-ت,20200114,4091.44
شپنا-ت,20200115,4073.42
شپنا-ت,20200118,4133.92
شپنا-ت,20200119,4156.44
شپنا-ت,20200120,4090.15
شپنا-ت,20200121,3888.06
شپنا-ت,20200122,3893.21
شپنا-ت,20200125,3902.86
شپنا-ت,20200126,3829.49
شپنا-ت,20200127,3779.93
شپنا-ت,20200128,3857.81
شپنا-ت,20200201,3855.23
شپنا-ت,20200202,3790.87
شپنا-ت,20200203,3842.36
شپنا-ت,20200204,3859.74
شپنا-ت,20200205,4036.09
شپنا-ت,20200208,4232.39
شپنا-ت,20200209,4245.91
شپنا-ت,20200210,4058.62
شپنا-ت,20200212,4079.21
شپنا-ت,20200215,4238.18
شپنا-ت,20200216,4409.38
شپنا-ت,20200217,4368.84
